Date,Open,High,Low,Close,Volume,^GSPC,^IXIC,^DJI,^N225,^HSI,INR=X,JPY=X,CNY=X,^INDIAVIX,^VIX,BZ=F,GC=F,SI=F,NG=F,HG=F,ZW=F,^TNX,DX-Y.NYB,Future_Close,Pct_Change_1M,Target_1M
2018-01-02,10477.5498046875,10495.2001953125,10404.650390625,10442.2001953125,153400,2695.81005859375,7006.89990234375,24824.009765625,23506.330078125,30515.310546875,63.86759948730469,112.7699966430664,6.505799770355225,13.6899995803833,9.770000457763672,66.56999969482422,1313.699951171875,17.121000289916992,3.055999994277954,3.25600004196167,433.5,2.4649999141693115,91.8499984741211,11016.900390625,5.503631270835841,Rise
2018-01-03,10482.650390625,10503.599609375,10429.5498046875,10443.2001953125,167300,2713.06005859375,7065.52978515625,24922.6796875,23506.330078125,30560.94921875,63.459999084472656,112.24400329589844,6.49399995803833,13.619999885559082,9.149999618530272,67.83999633789062,1316.199951171875,17.184999465942383,3.007999897003174,3.236999988555908,436.0,2.447000026702881,92.16000366210938,10760.599609375,3.0392926318214877,Rise
2018-01-04,10469.400390625,10513.0,10441.4501953125,10504.7998046875,174900,2723.989990234375,7077.91015625,25075.130859375,23506.330078125,30736.48046875,63.41910171508789,112.60700225830078,6.503099918365479,13.420000076293944,9.220000267028809,68.06999969482422,1319.4000244140625,17.18899917602539,2.880000114440918,3.242500066757202,434.0,2.453000068664551,91.8499984741211,10666.5498046875,1.5397723231986122,Rise
2018-01-05,10534.25,10566.099609375,10520.099609375,10558.849609375,180900,2743.14990234375,7136.56005859375,25295.869140625,23714.529296875,30814.640625,63.36959838867188,112.78299713134766,6.493299961090088,13.109999656677246,9.220000267028809,67.62000274658203,1320.300048828125,17.204999923706055,2.7950000762939453,3.2070000171661377,430.75,2.4760000705718994,91.9499969482422,10498.25,-0.5739224595186465,Fall
2018-01-08,10591.7001953125,10631.2001953125,10588.5498046875,10623.599609375,169000,2747.7099609375,7157.39013671875,25283.0,23714.529296875,30899.529296875,63.26499938964844,113.15399932861328,6.487500190734863,13.739999771118164,9.520000457763672,67.77999877929688,1318.5999755859375,17.06399917602539,2.8350000381469727,3.200999975204468,427.75,2.4800000190734863,92.33000183105467,10476.7001953125,-1.382764971044897,Fall
2018-01-09,10645.099609375,10659.150390625,10603.599609375,10637.0,205000,2751.2900390625,7163.580078125,25385.80078125,23849.990234375,31011.41015625,63.45199966430664,113.14099884033205,6.497600078582764,13.850000381469728,10.079999923706056,68.81999969482422,1311.699951171875,16.93600082397461,2.9230000972747803,3.194499969482422,432.25,2.5460000038146973,92.52999877929688,10576.849609375,-0.5654826607596127,Fall
2018-01-10,10652.0498046875,10655.5,10592.7001953125,10632.2001953125,176400,2748.22998046875,7153.56982421875,25369.130859375,23788.19921875,31073.720703125,63.63610076904297,112.75499725341795,6.529399871826172,14.039999961853027,9.81999969482422,69.19999694824219,1317.4000244140625,16.96299934387207,2.9059998989105225,3.2149999141693115,434.25,2.549999952316284,92.33000183105467,10454.9501953125,-1.6671055542967068,Fall
2018-01-11,10637.0498046875,10664.599609375,10612.349609375,10651.2001953125,153800,2767.56005859375,7211.77978515625,25574.73046875,23710.4296875,31120.390625,63.7599983215332,111.44400024414062,6.507199764251709,14.010000228881836,9.880000114440918,69.26000213623047,1320.5999755859375,16.893999099731445,3.0840001106262207,3.213500022888184,433.25,2.5309998989105225,91.8499984741211,10539.75,-1.0463627879377224,Fall
2018-01-12,10682.5498046875,10690.400390625,10597.099609375,10681.25,175200,2786.239990234375,7261.06005859375,25803.189453125,23653.8203125,31412.5390625,63.67210006713867,111.29399871826172,6.490200042724609,13.729999542236328,10.15999984741211,69.87000274658203,1333.4000244140625,17.069000244140625,3.200000047683716,3.200000047683716,420.5,2.552000045776367,90.97000122070312,10500.900390625,-1.6884691339964892,Fall
2018-01-15,10718.5,10782.650390625,10713.7998046875,10741.5498046875,175900,2786.239990234375,7261.06005859375,25803.189453125,23714.880859375,31338.869140625,63.5885009765625,111.0999984741211,6.456200122833252,14.3100004196167,10.15999984741211,69.87000274658203,1333.4000244140625,17.069000244140625,3.200000047683716,3.200000047683716,420.5,2.552000045776367,90.97000122070312,10545.5,-1.8251538023120826,Fall
2018-01-16,10761.5,10762.349609375,10687.849609375,10700.4501953125,211000,2776.419921875,7223.68994140625,25792.859375,23951.810546875,31904.75,63.52119827270508,110.58100128173828,6.435200214385986,14.09000015258789,11.65999984741211,69.1500015258789,1335.4000244140625,17.121999740600586,3.128999948501587,3.1989998817443848,416.5,2.5439999103546143,90.38999938964844,10452.2998046875,-2.3190649561053625,Fall
2018-01-17,10702.4501953125,10803.0,10666.75,10788.5498046875,252700,2802.56005859375,7298.27978515625,26115.650390625,23868.33984375,31983.41015625,63.99430084228516,110.38800048828124,6.442299842834473,13.859999656677246,11.90999984741211,69.37999725341797,1338.0,17.104999542236328,3.2320001125335693,3.1665000915527344,421.5,2.578000068664551,90.54000091552734,10378.400390625,-3.801710345576704,Fall
2018-01-18,10873.400390625,10887.5,10782.400390625,10817.0,312000,2798.030029296875,7296.0498046875,26017.810546875,23763.369140625,32121.939453125,63.82500076293945,111.3759994506836,6.43209981918335,13.960000038146973,12.220000267028809,69.30999755859375,1326.0,16.89299964904785,3.188999891281128,3.177000045776367,425.25,2.611000061035156,90.5,10360.400390625,-4.221129789914024,Fall
